Fecha, Hora, Temp. Ambiental (DHT11), Humedad (DHT11), CO2 PPM (MQ135),  Temp. Corporal (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
04/12/2024, 00:39:16, 19.00, 64.00, 80, 19.71, 0.00, 0.00
04/12/2024, 00:39:22, 19.00, 64.00, 80, 19.67, 0.00, 0.00
04/12/2024, 00:39:28, 19.00, 64.00, 80, 19.67, 0.00, 0.00
04/12/2024, 00:39:35, 19.00, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:39:41, 19.00, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:39:47, 19.00, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:39:54, 19.00, 64.00, 80, 19.73, 0.00, 0.00
04/12/2024, 00:40:00, 19.00, 64.00, 80, 19.73, 0.00, 0.00
04/12/2024, 00:40:06, 19.00, 64.00, 80, 19.79, 0.00, 0.00
04/12/2024, 00:40:13, 19.00, 64.00, 80, 19.73, 0.00, 0.00
04/12/2024, 00:40:19, 19.00, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:40:26, 19.00, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:40:32, 19.00, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:40:38, 19.00, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:40:45, 19.00, 64.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:40:51, 19.00, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:40:57, 19.00, 64.00, 80, 19.79, 0.00, 0.00
04/12/2024, 00:41:04, 19.40, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:41:10, 19.40, 64.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:41:16, 19.40, 64.00, 80, 19.79, 0.00, 0.00
04/12/2024, 00:41:23, 19.40, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:41:29, 19.40, 64.00, 80, 19.79, 0.00, 0.00
04/12/2024, 00:41:35, 19.40, 64.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:41:42, 19.40, 64.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:41:48, 19.40, 63.00, 80, 19.79, 0.00, 0.00
04/12/2024, 00:41:54, 19.40, 63.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:42:01, 19.40, 63.00, 80, 19.77, 0.00, 0.00
04/12/2024, 00:42:13, 19.40, 63.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:42:20, 19.40, 63.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:42:26, 19.40, 63.00, 80, 19.79, 0.00, 0.00
04/12/2024, 00:42:32, 19.40, 63.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:42:39, 19.40, 63.00, 80, 19.79, 0.00, 0.00
04/12/2024, 00:42:45, 19.40, 63.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:42:51, 19.40, 63.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:42:58, 19.40, 63.00, 80, 19.87, 0.00, 0.00
04/12/2024, 00:43:04, 19.40, 63.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:43:10, 19.40, 63.00, 80, 19.89, 0.00, 0.00
04/12/2024, 00:43:17, 19.40, 63.00, 80, 19.87, 0.00, 0.00
04/12/2024, 00:43:23, 19.40, 63.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:43:29, 19.40, 63.00, 80, 19.89, 0.00, 0.00
04/12/2024, 00:43:36, 19.40, 63.00, 80, 19.83, 0.00, 0.00
04/12/2024, 00:43:42, 19.50, 63.00, 80, 19.87, 0.00, 0.00
04/12/2024, 00:43:48, 19.80, 63.00, 80, 19.87, 0.00, 0.00
04/12/2024, 00:43:55, 19.80, 63.00, 80, 19.87, 0.00, 0.00
04/12/2024, 00:44:01, 19.80, 63.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:44:08, 19.80, 63.00, 80, 19.87, 0.00, 0.00
04/12/2024, 00:44:14, 19.80, 62.00, 80, 19.87, 0.00, 0.00
04/12/2024, 00:44:20, 19.80, 62.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:44:27, 19.80, 62.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:44:33, 19.80, 62.00, 80, 19.87, 0.00, 0.00
04/12/2024, 00:44:39, 19.80, 62.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:44:46, 19.80, 62.00, 80, 19.99, 0.00, 0.00
04/12/2024, 00:44:52, 19.80, 62.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:44:58, 19.80, 62.00, 80, 19.89, 0.00, 0.00
04/12/2024, 00:45:05, 19.80, 62.00, 80, 19.93, 0.00, 0.00
04/12/2024, 00:45:11, 19.80, 62.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:45:17, 19.80, 62.00, 80, 19.95, 0.00, 0.00
